txn_id,timestamp,sender_upi,receiver_upi,amount,payment_type,hour_of_day,day_of_week,device_type,device_id,location,ip_address,is_new_receiver,txn_frequency_1hr,failed_pin_attempts,vpn_used,is_fraud
TXN7EE41D3F4E,2026-02-24 11:42:12,krishnap@ybl,ekanibha@ibl,9965.24,Recharge,11,1,OnePlus_11,F88F02C16392A6,Ahmedabad,49.18.249.203,0,4,0,0,0
TXN157CBE499C,2025-12-18 15:08:06,jacksond@okaxis,andrewba@ybl,3618.62,P2P,15,3,iPhone_14,2EC65B3C78E8B2,Hyderabad,49.216.102.1,0,1,0,0,0
TXN8DD782C124,2026-02-04 15:47:37,urvashib@upi,tanishsa@oksbi,9924.29,P2P,15,2,OnePlus_11,0C2FE849FB416D,Pune,49.21.112.183,1,4,0,0,0
TXNC31853FA3A,2025-12-07 21:01:53,petershe@okicici,garimadu@ybl,3138.81,QR,21,6,Vivo_V27,F2D0DF1B108378,Lucknow,49.131.232.124,0,2,0,0,0
TXN45DEF9C7B8,2025-11-03 07:27:51,ijayakal@upi,isaacsri@ibl,3952.61,Recharge,7,0,OnePlus_11,A14BE2B2EC385B,Mumbai,49.178.213.138,0,4,0,0,0
TXNCF615ABE4F,2026-01-08 15:06:35,janakiwa@okicici,wazirmaj@upi,5657.68,Bill,15,3,Realme_10,40504E6CC57BAD,Surat,49.217.230.254,0,4,0,0,0
TXNC439B6C8E7,2025-11-20 07:50:13,kashishc@oksbi,yatinpal@okicici,7362.39,P2M,7,3,Xiaomi_13,E4CD09D4AB8B0C,Chennai,49.148.139.159,0,1,0,0,0
TXN6605051958,2026-01-16 20:20:15,suhanich@ibl,ekiyagad@ybl,1167.03,Bill,20,4,iPhone_15,BBA95323FF9822,Surat,49.30.89.179,1,2,0,0,0
TXN970F9BC0A5,2026-01-17 13:03:37,labanahu@ybl,gaurikas@ybl,2202.73,QR,13,5,Oppo_Reno8,55C032B977E4A3,Indore,49.112.217.99,1,1,0,0,0
TXN2B727702E8,2026-01-01 19:18:57,lakshmip@okicici,sanayaba@paytm,8297.6,Recharge,19,3,iPhone_15,59020852AF89EA,Kolkata,49.112.229.43,0,4,0,0,0
TXND3DADC5730,2026-02-14 18:45:22,balvande@okaxis,charitao@okaxis,2010.36,QR,18,5,Vivo_V27,61B642748B4E02,Chennai,49.121.176.163,0,2,0,0,0
TXND0C373A1BF,2026-01-04 16:42:58,samarkau@paytm,gautamsh@oksbi,7392.46,Bill,16,6,Samsung_Galaxy_S23,ED36A708589EEA,Mumbai,49.242.170.33,1,1,0,0,0
TXN703EF5D475,2026-03-08 11:52:43,pushtiba@ibl,ayushgol@upi,2981.47,QR,11,6,Oppo_Reno8,10FDAD6B2D81F0,Surat,49.35.81.31,0,3,0,0,0
TXN9E937F4F09,2026-02-25 16:08:09,sudiksha@paytm,priyacha@okicici,3762.01,P2P,16,2,Samsung_Galaxy_S23,3028B23FBF8941,Kanpur,49.217.94.248,0,4,0,0,0
TXN09BD64680B,2026-01-25 07:29:42,kashishd@oksbi,nicholas@okaxis,3966.43,Bill,7,6,Motorola_Edge_40,99CB7EB161FB65,Jaipur,49.121.247.142,1,1,0,0,0
TXN46A6F1977F,2025-10-07 12:38:06,teerthpr@oksbi,vanyaval@ibl,8024.17,Bill,12,1,Google_Pixel_7,64A3815306EF14,Kolkata,49.49.247.172,1,3,0,0,0
TXNDE93EE0E24,2026-02-09 04:54:18,triyapra@ibl,abduloom@paytm,137174.01,Bill,4,0,Rooted_Android,868D8BC59536FC,Spoofed_Location,Unknown_IP,1,17,2,0,1
TXNF8FF7B1210,2025-12-29 06:54:28,nakulbal@ibl,wahabcha@ybl,7864.75,QR,6,0,iPhone_14,CEF9AEB2352ABC,Ahmedabad,49.43.180.115,1,2,0,0,0
TXN6D1FB24B72,2025-12-16 23:53:05,kaichatt@upi,nikitath@upi,9098.31,Bill,23,1,Realme_10,E097B832AF1C95,Hyderabad,49.100.63.11,0,1,1,0,0
TXN60A2C9D33E,2025-10-31 08:23:02,widishab@paytm,netrasac@oksbi,3344.24,Recharge,8,4,OnePlus_11,5BB7FA3DB86E36,Hyderabad,49.191.209.197,0,2,0,0,0
TXN4AF3F68E2A,2026-01-16 06:23:53,chakrika@okaxis,chakrika@paytm,3012.69,QR,6,4,iPhone_15,2E91B41A7E0CC1,Surat,49.23.122.192,0,3,0,0,0
TXN752D94BADE,2026-02-03 17:39:05,yochanas@ybl,chavvika@okaxis,556.84,P2P,17,1,Realme_10,63143FE89D62FF,Indore,49.164.13.93,0,1,0,0,0
TXN5AA2A8533B,2025-12-26 08:18:10,vaishnav@upi,mitalido@ibl,6603.26,Bill,8,4,Xiaomi_13,B28F759F05D9B0,Bhopal,49.135.247.155,0,2,0,0,0
TXN19877F8CDB,2025-11-18 17:45:34,faqidwas@paytm,bhavnala@okicici,2052.6,Bill,17,1,iPhone_15,F86D57DDE69009,Bangalore,49.31.186.186,0,2,0,0,0
TXN827AF45A1D,2025-12-31 08:50:45,mayamist@okicici,yashicau@paytm,2207.42,P2M,8,2,Google_Pixel_7,926777CFFC8685,Delhi,49.202.130.41,1,4,0,0,0
TXNAFF7560E1F,2025-11-15 06:44:17,janujaka@okaxis,lakshitr@ibl,531.85,Bill,6,5,iPhone_14,A9596C6E7323E4,Jaipur,49.196.18.15,0,4,0,0,0
TXN19FC92A229,2026-01-01 01:46:47,ishwarto@ybl,binabani@oksbi,61600.76,Recharge,1,3,Unknown_Device,B526B131472EA3,Unknown_City,TOR_Exit_Node,1,24,3,0,1
TXNA761EF48BE,2025-10-25 15:47:34,veersant@paytm,nitaraga@okicici,2803.6,P2P,15,5,Xiaomi_13,9E2B2E9215434D,Lucknow,49.206.199.147,0,1,1,0,0
TXNB0D02E6A38,2025-10-15 20:34:02,alexande@upi,amritach@upi,7154.92,P2M,20,2,Xiaomi_13,35DEFD41E2464C,Jaipur,49.23.220.1,0,1,0,0,0
TXNEE0C0EB4C3,2026-03-10 21:00:35,abharaj@ybl,mugdhash@upi,798.02,QR,21,1,Realme_10,4FA0CD8B1B4586,Delhi,49.67.181.93,0,2,0,0,0
TXNCD218D3A67,2026-02-09 05:56:22,vrindasa@okicici,vasudhaw@ibl,181598.17,P2P,5,0,VM_Instance,5EFE5923286616,Foreign_City,Unknown_IP,1,12,2,1,1
TXN62FC2E8B6E,2026-02-09 09:04:57,anaybir@oksbi,adwetaka@ibl,4453.76,QR,9,0,Oppo_Reno8,173BCF46600DDE,Pune,49.51.192.174,0,2,0,0,0
TXNE3E9EF88FA,2026-02-05 10:06:45,luckybis@ibl,nidhibum@ibl,8724.23,Bill,10,3,iPhone_14,B0C7F54AABF8BF,Mumbai,49.52.42.16,0,1,0,0,0
TXNE602E1F22B,2025-12-14 11:13:13,tejassan@okaxis,hemanikh@upi,153.99,P2P,11,6,Google_Pixel_7,6A2DA6C5492B87,Pune,49.245.64.9,0,2,0,0,0
TXN0B79CCC5FB,2025-10-16 08:02:28,gautambh@upi,ekavirwa@ibl,2734.81,P2M,8,3,OnePlus_11,9A2DCC7E7B1A8F,Kanpur,49.90.181.14,0,1,0,0,0
